date,CBOE_Total_PCR,CBOE_Index_PCR,CBOE_ETP_PCR,CBOE_Equity_PCR,CBOE_VIX_PCR,CBOE_SPX_PCR
2024-10-15,0.88,1.11,0.96,0.57,0.35,1.44
2024-10-16,0.89,1.11,0.93,0.57,0.62,1.42
2024-10-17,0.92,1.2,0.74,0.77,0.73,1.34
2024-10-18,0.81,1.37,0.93,0.42,1.03,1.43
2024-10-21,0.9,1.21,1.06,0.49,0.43,1.43
2024-10-22,0.98,1.26,1.07,0.59,1.09,1.28
2024-10-23,0.92,1.27,0.74,0.58,0.97,1.3
2024-10-24,0.86,1.12,0.95,0.55,0.69,1.24
2024-10-25,0.9,1.28,1.0,0.51,0.67,1.38
2024-10-28,1.0,1.41,1.15,0.58,1.2,1.46
2024-10-29,0.9,1.15,1.01,0.62,0.81,1.22
2024-10-30,0.92,1.3,0.92,0.63,1.17,1.33
2024-10-31,0.99,1.35,0.95,0.63,1.28,1.39
2024-11-01,1.12,1.7,1.11,0.71,2.32,1.59
2024-11-04,1.33,1.91,1.3,0.61,3.04,1.57
2024-11-05,0.99,1.13,1.3,0.62,0.92,1.23
2024-11-06,0.88,1.13,0.94,0.54,0.69,1.38
2024-11-07,0.82,1.21,0.96,0.47,0.98,1.29
2024-11-08,0.81,1.22,0.79,0.55,0.66,1.38
2024-11-11,0.74,1.0,0.89,0.48,0.41,1.31
2024-11-12,0.79,1.09,0.76,0.5,0.69,1.22
2024-11-13,0.84,1.08,1.05,0.54,0.61,1.26
2024-11-14,0.85,1.13,0.82,0.63,0.61,1.29
2024-11-15,0.9,1.19,0.92,0.6,0.88,1.34
2024-11-18,0.82,1.07,0.97,0.51,0.57,1.25
2024-11-19,0.87,1.03,0.9,0.62,0.44,1.35
2024-11-20,0.8,0.95,0.93,0.58,0.43,1.17
2024-11-21,0.8,1.11,0.88,0.53,0.47,1.21
2024-11-22,0.85,1.29,0.94,0.51,0.85,1.37
2024-11-25,0.77,1.17,0.78,0.48,0.75,1.27
2024-11-26,0.81,1.14,0.98,0.48,0.46,1.28
2024-11-27,0.86,1.13,0.98,0.56,0.27,1.28
2024-11-29,0.86,1.17,0.94,0.56,0.66,1.27
2024-12-02,0.87,1.16,0.92,0.62,0.32,1.48
2024-12-03,0.83,0.98,1.04,0.55,0.3,1.33
2024-12-04,0.8,1.05,1.04,0.49,0.31,1.4
2024-12-05,0.8,1.07,1.04,0.5,0.33,1.2
2024-12-06,0.84,1.27,0.9,0.54,0.53,1.58
2024-12-09,0.79,0.99,0.99,0.56,0.24,1.37
2024-12-10,0.84,1.22,0.93,0.48,0.29,1.52
2024-12-11,0.79,1.01,0.99,0.53,0.45,1.24
2024-12-12,0.87,0.93,1.14,0.68,0.28,1.32
2024-12-13,0.84,1.04,0.98,0.58,0.29,1.38
2024-12-16,0.85,1.2,0.96,0.51,0.66,1.36
2024-12-17,0.81,1.07,0.99,0.49,0.66,1.28
2024-12-18,0.85,1.1,1.1,0.45,0.46,1.42
2024-12-19,0.98,1.35,0.93,0.62,0.73,1.66
2024-12-20,0.93,1.3,1.03,0.54,1.21,1.31
2024-12-23,0.89,1.09,1.49,0.48,0.48,1.19
2024-12-24,0.96,1.06,1.51,0.51,1.06,1.06
2024-12-26,0.78,1.06,0.8,0.49,0.65,1.12
2024-12-27,0.89,1.19,0.79,0.67,0.66,1.26
2024-12-30,0.92,1.13,1.05,0.63,0.56,1.2
2024-12-31,0.81,1.06,0.86,0.46,0.42,1.18
2025-01-02,1.04,1.21,1.12,0.8,0.7,1.29
2025-01-03,0.81,1.04,1.47,0.45,0.32,1.24
2025-01-06,0.8,1.12,1.18,0.42,0.66,1.21
2025-01-07,0.78,0.93,1.1,0.45,0.26,1.36
2025-01-08,0.95,1.17,1.23,0.6,0.56,1.37
2025-01-09,1.73,1.73,0.0,0.0,0.09,1.95
2025-01-10,0.97,1.21,1.1,0.7,0.5,1.46
2025-01-13,0.95,1.18,1.11,0.6,0.78,1.33
2025-01-14,0.77,1.12,0.79,0.41,0.94,1.16
2025-01-15,0.86,1.07,1.03,0.58,0.72,1.22
2025-01-16,0.85,0.88,0.69,0.94,0.27,1.25
2025-01-17,0.69,0.91,0.86,0.43,0.32,1.28
2025-01-21,0.72,0.94,0.81,0.46,0.46,1.29
2025-01-22,0.76,0.92,0.85,0.49,0.19,1.42
2025-01-23,0.78,0.97,0.92,0.53,0.32,1.15
2025-01-24,0.76,1.0,0.82,0.52,0.27,1.22
2025-01-27,0.89,1.13,1.1,0.57,0.57,1.37
2025-01-28,0.75,0.98,0.74,0.53,0.43,1.11
2025-01-29,0.72,0.76,0.92,0.59,0.19,1.1
2025-01-30,0.69,0.77,0.87,0.52,0.18,1.2
2025-01-31,0.85,1.21,0.97,0.49,0.78,1.28
2025-02-03,0.93,1.14,1.12,0.54,0.77,1.25
2025-02-04,0.84,1.11,0.98,0.51,0.43,1.28
2025-02-05,0.79,1.02,0.86,0.54,0.53,1.17
2025-02-06,0.8,0.99,0.94,0.57,0.43,1.15
2025-02-07,0.79,1.05,0.86,0.52,0.34,1.25
2025-02-10,0.77,1.03,0.99,0.47,0.25,1.34
2025-02-11,0.83,1.12,0.95,0.53,0.35,1.36
