date,CBOE_Total_Call_Volume,CBOE_Total_Put_Volume,CBOE_Total_Total_Volume,CBOE_Total_PCR_Calculated,CBOE_Total_PCR_Diff,CBOE_Index_Call_Volume,CBOE_Index_Put_Volume,CBOE_Index_Total_Volume,CBOE_Index_PCR_Calculated,CBOE_Index_PCR_Diff,CBOE_ETP_Call_Volume,CBOE_ETP_Put_Volume,CBOE_ETP_Total_Volume,CBOE_ETP_PCR_Calculated,CBOE_ETP_PCR_Diff,CBOE_Equity_Call_Volume,CBOE_Equity_Put_Volume,CBOE_Equity_Total_Volume,CBOE_Equity_PCR_Calculated,CBOE_Equity_PCR_Diff,CBOE_VIX_Call_Volume,CBOE_VIX_Put_Volume,CBOE_VIX_Total_Volume,CBOE_VIX_PCR_Calculated,CBOE_VIX_PCR_Diff,CBOE_SPX_Call_Volume,CBOE_SPX_Put_Volume,CBOE_SPX_Total_Volume,CBOE_SPX_PCR_Calculated,CBOE_SPX_PCR_Diff
2025-06-02,4698499.0,4013516.0,8712015.0,0.85,0.0,1855292.0,1925793.0,3781085.0,1.04,0.0,1013374.0,1019381.0,2032755.0,1.01,0.0,1829833.0,1068342.0,2898175.0,0.58,0.0,320002.0,187542.0,507544.0,0.59,0.0,1467846.0,1655701.0,3123547.0,1.13,0.0
2025-06-03,4828049.0,4493057.0,9321106.0,0.93,0.0,1958635.0,2083992.0,4042627.0,1.06,0.0,1034150.0,1463972.0,2498122.0,1.42,0.0,1835264.0,945093.0,2780357.0,0.51,0.0,309307.0,133559.0,442866.0,0.43,0.0,1561221.0,1859276.0,3420497.0,1.19,0.0
2025-06-04,4403930.0,3723998.0,8127928.0,0.85,0.0,1732962.0,1791307.0,3524269.0,1.03,0.0,919340.0,1020117.0,1939457.0,1.11,0.0,1751628.0,912574.0,2664202.0,0.52,0.0,352900.0,139462.0,492362.0,0.4,0.0,1313627.0,1568410.0,2882037.0,1.19,0.0
2025-06-05,5885860.0,5053568.0,10939428.0,0.86,0.0,2164421.0,2341908.0,4506329.0,1.08,0.0,1324373.0,1204842.0,2529215.0,0.91,0.0,2397066.0,1506818.0,3903884.0,0.63,0.0,396088.0,173910.0,569998.0,0.44,0.0,1644951.0,2025025.0,3669976.0,1.23,0.0
2025-06-06,5756409.0,5025102.0,10781511.0,0.87,0.0,1958586.0,2302268.0,4260854.0,1.18,0.0,1235539.0,1320132.0,2555671.0,1.07,0.0,2562284.0,1402702.0,3964986.0,0.55,0.0,370865.0,145455.0,516320.0,0.39,0.0,1513346.0,2061495.0,3574841.0,1.36,0.0
2025-06-09,4883434.0,3858564.0,8741998.0,0.79,0.0,1710584.0,1902008.0,3612592.0,1.11,0.0,1155053.0,916615.0,2071668.0,0.79,0.0,2017797.0,1039941.0,3057738.0,0.52,0.0,375627.0,299176.0,674803.0,0.8,0.0,1249688.0,1462286.0,2711974.0,1.17,0.0
2025-06-10,5288728.0,4579676.0,9868404.0,0.87,0.0,2116018.0,2361543.0,4477561.0,1.12,0.0,1021308.0,984524.0,2005832.0,0.96,0.0,2151402.0,1233609.0,3385011.0,0.57,0.0,534291.0,334845.0,869136.0,0.63,0.0,1500385.0,1924111.0,3424496.0,1.28,0.0
2025-06-11,6090302.0,4803323.0,10893625.0,0.79,0.0,2704258.0,2662686.0,5366944.0,0.98,0.0,1246167.0,1023145.0,2269312.0,0.82,0.0,2139877.0,1117492.0,3257369.0,0.52,0.0,818099.0,296801.0,1114900.0,0.36,0.0,1794217.0,2253321.0,4047538.0,1.26,0.0
2025-06-12,4631714.0,4029410.0,8661124.0,0.87,0.0,2041177.0,2289097.0,4330274.0,1.12,0.0,786642.0,697325.0,1483967.0,0.89,0.0,1803895.0,1042988.0,2846883.0,0.58,0.0,494968.0,191059.0,686027.0,0.39,0.0,1393976.0,1945068.0,3339044.0,1.4,0.0
2025-06-13,5989451.0,5316002.0,11305453.0,0.89,0.0,2792896.0,2889549.0,5682445.0,1.03,0.0,1081778.0,1141418.0,2223196.0,1.06,0.0,2114777.0,1285035.0,3399812.0,0.61,0.0,974641.0,353525.0,1328166.0,0.36,0.0,1725875.0,2420539.0,4146414.0,1.4,0.0
